"","Key","Topic"
"1","algorithms",1
"2","data structures",1
"3","sorting",1
"4","recursion",1
"5","big data",1
"6","array",1
"7","tree",1
"8","stack",1
"9","queue",1
"10","graph",1
"11","hash table",1
"12","linked list",1
"13","heap",1
"14","artificial intelligence",1
"15","computer architecture",1
"16","greedy algorithm",1
"17","hill climbing",1
"18","simulated annealing",1
"19","dynamic programming",1
"20","functional programming",1
"21","programming",1
"22","machine learning",1
"23","p vs np",1
"24","halting problem",1
"25","concurrency",1
"26","multithreading",1
"27","parallelism",1
"28","race condition",1
"29","mutual exclusion",1
"30","semaphore",1
"31","binary",1
"32","deadlock",1
"33","brute-force attack",1
"34","social engineering",1
"35","security exploit",1
"36","security",1
"37","trojan horse",1
"38","rootkit",1
"39","cryptography",1
"40","symmetric cryptography",1
"41","asymmetric cryptography",1
"42","public key",1
"43","private key",1
"44","agile development",1
"45","software development",1
"46","software engineering",1
"47","software",1
"48","cognitive",1
"49","human-robot",1
"50","robot",1
"51","processing",1
"52","architecture",1
"53","architectures",1
"54","primitive",1
"55","agile",1
"56","data",1
"57","structure",1
"58","structures",1
"59","engineering",1
"60","exploit",1
"61","secure",1
"62","program",1
"63","run",1
"64","execute",1
"65","java",1
"66","python",1
"67","alan turing",1
"68","turing",1
"69","assembly",1
"70","c",1
"71","c++",1
"72","c#",1
"73","javascript",1
"74","version control",1
"75","network",1
"76","systems",1
"77","branch",1
"78","natural language processing",1
"79","processor",1
"80","nlp",1
"81","ai",1
"82","argumentation",1
"83","neural network",1
"84","computer",1
"85","",1
"86","medium",1
"87","cavity",1
"88","nuclear",1
"89","calculation",1
"90","material",1
"91","crater",1
"92","equation",1
"93","cracked",1
"94","stress",1
"95","fig",1
"96","branches",1
"97","ventilation",1
"98","mesh",1
"99","fan",1
"100","meshes",1
"101","mine",1
"102","338",1
"103","print",1
"104","projection",1
"105","hemisphere",1
"106","face",1
"107","plane",1
"108","line",1
"109","rock",1
"110","inclined",1
"111","dip",1
"112","maximum",1
"113","pole",1
"114","failure",1
"115","strain",1
"116","creep",1
"117","element",1
"118","can",1
"119","model",1
"120","results",1
"121","calculated",1
"122","file",1
"123","boundary",1
"124","input",1
"125","user",1
"126","science",1
"127","statistics",1
"128","big",1
"129","approach",1
"130","datadriven",1
"131","new",1
"132","statistical",1
"133","2018",1
"134","logic",1
"135","one",1
"136","ﬁrstorder",1
"137","ﬁxedpoint",1
"138","problem",1
"139","•",1
"140","sets",1
"141","nite",1
"142","set",1
"143","theorem",1
"144","case",1
