"","Key","Topic"
"1","algorithms",1
"2","data structures",1
"3","sorting",1
"4","recursion",1
"5","big data",1
"6","array",1
"7","tree",1
"8","stack",1
"9","queue",1
"10","graph",1
"11","hash table",1
"12","linked list",1
"13","heap",1
"14","artificial intelligence",1
"15","computer architecture",1
"16","greedy algorithm",1
"17","hill climbing",1
"18","simulated annealing",1
"19","dynamic programming",1
"20","functional programming",1
"21","programming",1
"22","machine learning",1
"23","p vs np",1
"24","halting problem",1
"25","concurrency",1
"26","multithreading",1
"27","parallelism",1
"28","race condition",1
"29","mutual exclusion",1
"30","semaphore",1
"31","binary",1
"32","deadlock",1
"33","brute-force attack",1
"34","social engineering",1
"35","security exploit",1
"36","security",1
"37","trojan horse",1
"38","rootkit",1
"39","cryptography",1
"40","symmetric cryptography",1
"41","asymmetric cryptography",1
"42","public key",1
"43","private key",1
"44","agile development",1
"45","software development",1
"46","software engineering",1
"47","software",1
"48","cognitive",1
"49","human-robot",1
"50","robot",1
"51","processing",1
"52","architecture",1
"53","architectures",1
"54","primitive",1
"55","agile",1
"56","data",1
"57","structure",1
"58","structures",1
"59","engineering",1
"60","exploit",1
"61","secure",1
"62","program",1
"63","run",1
"64","execute",1
"65","java",1
"66","python",1
"67","alan turing",1
"68","turing",1
"69","assembly",1
"70","c",1
"71","c++",1
"72","c#",1
"73","javascript",1
"74","version control",1
"75","network",1
"76","systems",1
"77","branch",1
"78","natural language processing",1
"79","processor",1
"80","NLP",1
"81","review",2
"82","organic",2
"83","book",2
"84","synthesis",2
"85","catalyst",2
"86","reaction",2
"87","compd",2
"88","compounds",2
"89","reactions",2
"90","catalysis",2
"91","acid",2
"92","redn",2
"93","cleavage",2
"94","phase",2
"95","natural",2
"96","complex",2
"97","vol",2
"98","slide",2
"99","synthetic",2
"100","methods",2
"101","metal",2
"102","laboratory",2
"103","transfer",2
"104","substitution",2
"105","textbook",2
"106","reagent",2
"107","handbook",2
"108","prepn",2
"109","transition",2
"110","new",2
"111","work",2
"112","group",2
"113","structure",2
"114","addn",2
"115","acids",2
"116","selective",2
"117","enzyme",2
"118","reagents",2
"119","syntheses",2
"120","techniques",2
"121","agent",2
"122","exchange",2
"123","cassette",2
"124","system",2
"125","application",2
"126","chemistry",2
"127","chem",2
"128","ketone",2
"129","carbonyl",2
"130","hydrogenation",2
"131","ed",2
"132","ester",2
"133","aldehyde",2
"134","chloride",2
"135","beilstein",2
"136","olefin",2
"137","carbon",2
"138","oxide",2
"139","Pt",2
"140","As",2
"141","halide",2
